         57347559 function calls (56106207 primitive calls) in 92.745 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1083/717    0.032    0.000    3.032    0.004 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3306(amin)
     4352    0.008    0.000    2.931    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3302(grid)
     8704    0.014    0.000    2.922    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1696(grid)
     1088    0.007    0.000    2.695    0.002 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_axes.py:5538(barbs)
4352/4342    0.023    0.000    2.635    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:367(__init__)
     1088    0.023    0.000    2.421    0.002 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/quiver.py:934(__init__)
4352/4343    0.021    0.000    2.215    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:428(__init__)
167552/167329    0.056    0.000    2.170    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:146(<lambda>)
18520/18394    0.007    0.000    2.112    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/_methods.py:67(_all)
167552/167333    0.069    0.000    2.101    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:1237(set)
     1088    0.013    0.000    1.963    0.002 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/quiver.py:1167(set_UVC)
 1904/718    0.002    0.000    1.742    0.002 <frozen genericpath>:48(isdir)
     2176    0.007    0.000    1.678    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:633(draw)
32640/32610    0.034    0.000    1.676    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/text.py:104(__init__)
     1088    0.001    0.000    1.625    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:1014(draw)
     1088    1.602    0.001    1.604    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:352(draw)
23936/23848    0.051    0.000    1.598    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:784(set_clip_path)
 1088/804    1.677    0.002    1.589    0.002 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/interpolate/_ndgriddata.py:101(__call__)
17424/17212    0.012    0.000    1.584    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2477(any)
26112/26076    0.218    0.000    1.489    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:287(__init__)
  621/618    0.002    0.000    1.418    0.002 <frozen importlib._bootstrap>:1240(_find_spec)
      621    0.001    0.000    1.359    0.002 <frozen importlib._bootstrap_external>:1551(find_spec)
361513/305181    0.183    0.000    1.358    0.000 {method 'copy' of 'numpy.ndarray' objects}
13056/8698    0.079    0.000    1.329    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1195(_set_lim)
      759    0.003    0.000    1.303    0.002 <frozen importlib._bootstrap_external>:1624(find_spec)
      621    0.001    0.000    1.281    0.002 <frozen importlib._bootstrap_external>:1522(_get_spec)
27200/27129    0.021    0.000    1.200    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:307(get_transform)
8704/8675    0.007    0.000    1.187    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:234(set_clip_path)
41344/41306    0.127    0.000    1.173    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
 1087/670    0.232    0.000    1.149    0.002 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/interpolate/_ndgriddata.py:92(__init__)
721305/685972    0.133    0.000    1.088    0.000 {built-in method builtins.next}
4352/4330    0.021    0.000    1.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:845(clear)
     1088    0.208    0.000    1.012    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/quiver.py:1023(_make_barbs)
2204146/2138641    0.311    0.000    0.963    0.000 {built-in method builtins.getattr}
2176/1723    0.018    0.000    0.961    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/ndimage/_filters.py:125(correlate1d)
26112/26046    0.084    0.000    0.960    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:800(get_patch_transform)
4352/2176    0.004    0.000    0.941    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3736(set_xlim)
2176/2169    0.012    0.000    0.939    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/pyplot.py:872(figure)
140714/133187    0.843    0.000    0.914    0.000 {built-in method numpy.array}
2176/2169    0.005    0.000    0.896    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/pyplot.py:549(new_figure_manager)
     2176    0.008    0.000    0.883    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backend_bases.py:3494(new_figure_manager)
2176/2175    0.012    0.000    0.876    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:858(_init_axis)
2176/1723    0.940    0.000    0.865    0.001 {built-in method scipy.ndimage._nd_image.correlate1d}
1912770/1911270    0.331    0.000    0.820    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/__init__.py:778(__getitem__)
 2246/744    0.066    0.000    0.817    0.001 {built-in method posix.mkdir}
2175/1282    0.070    0.000    0.816    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/ndimage/_filters.py:257(gaussian_filter1d)
     4352    0.006    0.000    0.812    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:921(update_from_data_xy)
      252    0.002    0.000    0.810    0.003 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:953(start)
     2176    0.046    0.000    0.785    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:1215(set_verts)
254628/245903    0.055    0.000    0.753    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py:136(__enter__)
